,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,03000210,Sở GDĐT Hải Phòng,8.80,6.75,3.40,8.25,5.00,7.08,0,0,0
0,03000211,Sở GDĐT Hải Phòng,4.20,7.75,0,0,0,0,5.75,0,0
0,03000212,Sở GDĐT Hải Phòng,9.00,8.50,6.20,0,0,0,8.00,9.75,8.75
0,03000213,Sở GDĐT Hải Phòng,7.60,8.00,5.20,0,0,0,6.75,9.25,8.33
0,03000214,Sở GDĐT Hải Phòng,7.80,7.75,5.20,0,0,0,6.00,8.00,7.17
0,03000215,Sở GDĐT Hải Phòng,5.80,7.00,0,0,0,0,7.25,0,0
0,03000216,Sở GDĐT Hải Phòng,8.80,0,0,8.50,0,0,0,0,0
0,03000217,Sở GDĐT Hải Phòng,8.20,7.50,5.80,8.50,6.75,7.33,0,0,0
0,03000218,Sở GDĐT Hải Phòng,5.80,6.50,0,0,0,0,6.25,0,0
0,03000219,Sở GDĐT Hải Phòng,9.20,7.00,6.40,9.00,7.25,8.42,0,0,0
0,03000220,Sở GDĐT Hải Phòng,9.00,7.25,4.80,7.75,8.00,6.92,0,0,0
0,03000221,Sở GDĐT Hải Phòng,5.40,4.00,0,0,0,0,7.25,0,0
0,03000222,Sở GDĐT Hải Phòng,3.60,4.75,0,0,0,0,6.75,0,0
0,03000223,Sở GDĐT Hải Phòng,9.00,6.50,5.40,0,0,0,7.50,9.50,8.42
0,03000224,Sở GDĐT Hải Phòng,9.00,8.00,8.20,0,0,0,7.25,9.75,8.92
0,03000225,Sở GDĐT Hải Phòng,8.60,7.25,3.40,7.25,6.00,6.50,0,0,0
0,03000226,Sở GDĐT Hải Phòng,8.20,5.50,3.80,7.75,5.00,6.58,0,0,0
0,03000227,Sở GDĐT Hải Phòng,8.20,6.50,8.60,6.00,5.75,6.58,0,0,0
0,03000228,Sở GDĐT Hải Phòng,8.00,6.25,6.20,7.25,4.00,5.92,0,0,0
0,03000229,Sở GDĐT Hải Phòng,7.60,6.50,3.60,0,0,0,6.75,9.00,7.42
0,03000230,Sở GDĐT Hải Phòng,8.40,5.50,4.20,7.25,6.25,6.75,0,0,0
0,03000231,Sở GDĐT Hải Phòng,9.40,6.00,8.00,4.50,6.00,6.50,0,0,0
0,03000232,Sở GDĐT Hải Phòng,3.80,4.75,0,0,0,0,0,0,0
0,03000233,Sở GDĐT Hải Phòng,7.80,6.50,5.40,0,0,0,8.00,8.50,7.50
0,03000234,Sở GDĐT Hải Phòng,6.80,6.00,2.80,7.50,5.25,6.25,0,0,0
0,03000235,Sở GDĐT Hải Phòng,8.40,6.00,5.40,0,0,0,7.00,9.25,8.50
0,03000236,Sở GDĐT Hải Phòng,9.00,0,0,8.25,0,0,0,0,0
0,03000237,Sở GDĐT Hải Phòng,6.00,6.00,4.40,0,0,0,8.00,8.75,7.67
0,03000238,Sở GDĐT Hải Phòng,7.60,6.00,2.60,0,0,0,7.50,7.25,6.75
0,03000239,Sở GDĐT Hải Phòng,5.40,6.75,0,0,0,0,7.00,0,0
0,03000240,Sở GDĐT Hải Phòng,5.60,6.50,1.40,0,0,0,6.25,8.75,7.25
0,03000241,Sở GDĐT Hải Phòng,8.20,8.50,6.60,0,0,0,7.00,9.00,7.75
0,03000242,Sở GDĐT Hải Phòng,8.60,8.00,6.40,0,0,0,6.75,9.50,8.42
0,03000243,Sở GDĐT Hải Phòng,7.80,7.50,5.40,0,0,0,6.50,8.50,7.58
0,03000244,Sở GDĐT Hải Phòng,8.20,5.00,3.20,5.75,4.75,5.67,0,0,0
0,03000245,Sở GDĐT Hải Phòng,4.80,6.00,5.00,0,0,0,6.50,7.25,6.67
0,03000246,Sở GDĐT Hải Phòng,8.60,8.50,8.20,0,0,0,8.50,9.25,8.25
0,03000247,Sở GDĐT Hải Phòng,4.20,6.75,0,0,0,0,6.25,0,0
0,03000248,Sở GDĐT Hải Phòng,7.80,7.75,6.60,0,0,0,7.50,9.25,8.50
0,03000249,Sở GDĐT Hải Phòng,9.00,8.00,6.80,8.25,6.50,7.25,0,0,0
0,03000250,Sở GDĐT Hải Phòng,8.20,7.00,4.80,8.25,6.75,7.50,0,0,0
0,03000251,Sở GDĐT Hải Phòng,8.40,8.50,5.80,0,0,0,9.00,9.75,9.58
0,03000252,Sở GDĐT Hải Phòng,8.20,7.50,9.20,0,0,0,7.75,9.00,7.75
0,03000253,Sở GDĐT Hải Phòng,6.40,7.00,4.80,0,0,0,5.00,9.25,8.08
0,03000254,Sở GDĐT Hải Phòng,7.80,7.75,6.20,0,0,0,6.25,9.50,7.50
0,03000255,Sở GDĐT Hải Phòng,7.40,7.25,6.00,0,0,0,6.25,8.50,6.83
0,03000256,Sở GDĐT Hải Phòng,7.40,6.75,6.80,4.75,4.75,5.25,0,0,0
0,03000257,Sở GDĐT Hải Phòng,9.00,6.75,3.80,8.50,5.00,7.17,0,0,0
0,03000258,Sở GDĐT Hải Phòng,9.00,7.00,5.60,8.00,6.00,7.42,0,0,0
0,03000259,Sở GDĐT Hải Phòng,8.40,7.00,5.20,8.50,6.25,7.50,0,0,0
0,03000260,Sở GDĐT Hải Phòng,9.20,7.75,6.00,8.25,7.75,8.08,0,0,0
0,03000261,Sở GDĐT Hải Phòng,9.60,7.75,9.00,0,0,0,7.75,9.75,8.42
0,03000262,Sở GDĐT Hải Phòng,8.60,7.75,5.00,4.50,3.75,4.67,0,0,0
0,03000263,Sở GDĐT Hải Phòng,8.60,8.00,4.80,0,0,0,7.00,9.25,8.67
0,03000264,Sở GDĐT Hải Phòng,7.80,8.00,3.60,6.00,6.25,6.33,0,0,0
0,03000265,Sở GDĐT Hải Phòng,8.40,8.00,6.00,0,0,0,7.00,8.00,7.42
0,03000266,Sở GDĐT Hải Phòng,9.40,7.50,4.80,8.50,6.00,7.50,0,0,0
0,03000267,Sở GDĐT Hải Phòng,8.80,8.25,7.40,8.50,6.50,7.92,0,0,0
0,03000268,Sở GDĐT Hải Phòng,6.40,7.25,3.60,0,0,0,7.75,10.00,9.17
0,03000269,Sở GDĐT Hải Phòng,8.20,6.50,6.40,6.25,6.25,6.25,0,0,0
0,03000270,Sở GDĐT Hải Phòng,7.20,7.50,4.60,0,0,0,9.00,9.25,8.17
0,03000271,Sở GDĐT Hải Phòng,7.40,7.50,3.20,0,0,0,6.00,8.50,7.08
0,03000272,Sở GDĐT Hải Phòng,4.20,5.00,0,0,0,0,7.50,0,0
0,03000273,Sở GDĐT Hải Phòng,9.60,5.50,4.00,8.75,6.50,7.67,0,0,0
0,03000274,Sở GDĐT Hải Phòng,8.20,5.50,4.20,0,0,0,7.50,9.50,8.58
0,03000275,Sở GDĐT Hải Phòng,7.60,5.75,3.80,0,0,0,7.50,9.25,8.25
0,03000276,Sở GDĐT Hải Phòng,6.80,8.00,8.60,0,0,0,8.75,9.75,9.25
0,03000277,Sở GDĐT Hải Phòng,5.00,6.25,0,0,0,0,6.75,0,0
0,03000278,Sở GDĐT Hải Phòng,6.20,7.00,0,0,0,0,5.75,0,0
0,03000279,Sở GDĐT Hải Phòng,4.20,5.00,0,0,0,0,3.25,0,0
0,03000280,Sở GDĐT Hải Phòng,9.20,8.25,0,8.00,6.00,7.25,0,0,0
0,03000281,Sở GDĐT Hải Phòng,7.20,7.50,4.00,0,0,0,6.25,9.00,7.92
0,03000282,Sở GDĐT Hải Phòng,8.60,7.75,4.80,0,0,0,7.75,9.50,8.58
0,03000283,Sở GDĐT Hải Phòng,6.20,7.00,4.40,6.00,4.50,6.17,0,0,0
0,03000285,Sở GDĐT Hải Phòng,5.60,5.75,0,0,0,0,7.25,0,0
0,03000286,Sở GDĐT Hải Phòng,5.00,4.00,0,0,0,0,6.50,0,0
0,03000287,Sở GDĐT Hải Phòng,8.80,4.50,2.80,3.75,3.75,4.58,0,0,0
0,03000288,Sở GDĐT Hải Phòng,5.00,5.25,0,0,0,0,6.50,0,0
0,03000289,Sở GDĐT Hải Phòng,7.20,8.00,6.60,0,0,0,7.00,9.00,7.58
0,03000290,Sở GDĐT Hải Phòng,9.00,5.50,4.00,8.75,6.50,7.58,0,0,0
0,03000291,Sở GDĐT Hải Phòng,4.60,6.75,0,0,0,0,5.00,0,0
0,03000292,Sở GDĐT Hải Phòng,7.80,5.00,4.00,0,0,0,7.25,9.50,8.33
0,03000293,Sở GDĐT Hải Phòng,8.20,8.00,6.00,7.00,6.00,6.75,0,0,0
0,03000294,Sở GDĐT Hải Phòng,7.40,7.25,3.60,0,0,0,6.00,7.50,6.75
0,03000296,Sở GDĐT Hải Phòng,8.20,7.25,8.60,6.75,5.75,6.67,0,0,0
0,03000297,Sở GDĐT Hải Phòng,8.60,8.25,8.80,0,0,0,7.75,9.00,8.58
0,03000298,Sở GDĐT Hải Phòng,6.40,7.75,4.60,0,0,0,8.00,9.50,8.50
0,03000299,Sở GDĐT Hải Phòng,8.00,8.50,6.40,0,0,0,8.25,9.75,8.75
0,03000300,Sở GDĐT Hải Phòng,8.20,7.50,4.40,0,0,0,9.00,9.75,9.00
0,03000301,Sở GDĐT Hải Phòng,9.00,8.25,6.60,8.00,6.00,7.17,0,0,0
0,03000302,Sở GDĐT Hải Phòng,8.00,7.50,6.20,0,0,0,7.00,8.50,7.92
0,03000303,Sở GDĐT Hải Phòng,6.80,8.00,4.00,0,0,0,6.50,9.00,7.17
0,03000304,Sở GDĐT Hải Phòng,7.20,6.00,6.60,6.50,4.25,4.92,0,0,0
0,03000305,Sở GDĐT Hải Phòng,9.20,9.00,8.20,0,0,0,8.50,9.00,8.42
0,03000306,Sở GDĐT Hải Phòng,8.20,7.00,4.20,7.00,6.25,6.50,0,0,0
0,03000307,Sở GDĐT Hải Phòng,7.40,8.00,5.60,0,0,0,8.75,9.50,8.58
0,03000308,Sở GDĐT Hải Phòng,8.60,7.25,6.80,6.00,7.00,6.67,0,0,0
0,03000309,Sở GDĐT Hải Phòng,8.20,7.25,8.00,6.75,5.75,6.67,0,0,0
0,03000310,Sở GDĐT Hải Phòng,7.60,8.00,6.20,0,0,0,6.75,8.00,6.42
0,03000311,Sở GDĐT Hải Phòng,3.80,5.75,0,0,0,0,2.50,0,0
0,03000312,Sở GDĐT Hải Phòng,8.80,6.50,8.60,5.25,4.75,6.25,0,0,0
0,03000313,Sở GDĐT Hải Phòng,7.40,7.50,3.60,6.25,6.25,6.17,0,0,0
0,03000314,Sở GDĐT Hải Phòng,9.00,8.00,7.40,0,0,0,8.25,9.25,8.33
0,03000315,Sở GDĐT Hải Phòng,8.00,7.00,4.00,0,0,0,7.75,8.25,7.50
0,03000316,Sở GDĐT Hải Phòng,7.60,7.75,5.60,0,0,0,6.75,8.50,7.00
0,03000317,Sở GDĐT Hải Phòng,8.00,7.25,6.20,0,0,0,7.25,8.50,7.92
0,03000318,Sở GDĐT Hải Phòng,7.40,8.00,2.00,0,0,0,7.25,9.75,8.33
0,03000319,Sở GDĐT Hải Phòng,6.00,7.25,3.00,0,0,0,7.75,9.25,8.67
0,03000320,Sở GDĐT Hải Phòng,8.60,6.50,6.60,7.50,5.25,6.92,0,0,0
0,03000321,Sở GDĐT Hải Phòng,9.20,0,0,8.25,0,0,0,0,0
0,03000322,Sở GDĐT Hải Phòng,6.80,7.00,9.20,0,0,0,7.50,8.50,8.25
0,03000323,Sở GDĐT Hải Phòng,8.40,6.00,4.40,8.25,6.50,7.42,0,0,0
0,03000324,Sở GDĐT Hải Phòng,8.80,6.75,4.20,7.25,5.75,6.58,0,0,0
0,03000325,Sở GDĐT Hải Phòng,9.00,6.25,4.60,7.00,6.00,7.08,0,0,0
0,03000326,Sở GDĐT Hải Phòng,5.60,6.25,0,0,0,0,6.00,0,0
0,03000327,Sở GDĐT Hải Phòng,6.60,7.25,3.80,0,0,0,8.75,9.00,8.67
0,03000328,Sở GDĐT Hải Phòng,8.20,8.25,5.40,0,0,0,6.50,10.00,8.67
0,03000329,Sở GDĐT Hải Phòng,8.60,7.75,5.40,0,0,0,7.00,9.50,7.50
0,03000330,Sở GDĐT Hải Phòng,8.20,6.75,5.20,5.25,4.25,4.67,0,0,0
0,03000331,Sở GDĐT Hải Phòng,8.80,7.50,4.40,8.00,6.75,7.33,0,0,0
0,03000332,Sở GDĐT Hải Phòng,9.20,7.50,6.60,5.25,3.25,5.00,0,0,0
0,03000333,Sở GDĐT Hải Phòng,8.00,8.00,5.40,0,0,0,6.25,9.50,7.92
0,03000334,Sở GDĐT Hải Phòng,9.20,5.25,5.00,6.75,6.25,6.83,0,0,0
0,03000335,Sở GDĐT Hải Phòng,8.40,0,8.00,8.25,0,0,0,0,0
0,03000336,Sở GDĐT Hải Phòng,8.80,7.75,9.40,8.25,7.75,8.25,0,0,0
0,03000337,Sở GDĐT Hải Phòng,8.40,8.50,7.80,0,0,0,7.25,9.00,8.08
0,03000338,Sở GDĐT Hải Phòng,5.00,3.50,0,0,0,0,5.00,0,0
0,03000339,Sở GDĐT Hải Phòng,8.60,6.50,6.40,4.75,5.25,6.17,0,0,0
0,03000340,Sở GDĐT Hải Phòng,8.20,6.00,6.60,0,0,0,7.00,8.25,7.25
0,03000341,Sở GDĐT Hải Phòng,8.60,7.25,2.40,4.25,4.25,5.58,0,0,0
0,03000342,Sở GDĐT Hải Phòng,3.20,3.50,0,0,0,0,4.00,0,0
0,03000343,Sở GDĐT Hải Phòng,9.20,7.50,8.60,6.00,5.50,6.67,0,0,0
0,03000344,Sở GDĐT Hải Phòng,8.60,7.50,7.40,3.00,5.00,5.08,0,0,0
0,03000345,Sở GDĐT Hải Phòng,8.40,7.25,8.40,8.75,4.75,7.00,0,0,0
0,03000346,Sở GDĐT Hải Phòng,8.80,6.00,2.40,5.25,5.00,5.33,0,0,0
0,03000347,Sở GDĐT Hải Phòng,9.20,8.00,2.40,0,0,0,8.25,9.50,9.33
0,03000348,Sở GDĐT Hải Phòng,9.20,6.75,8.00,8.50,7.25,8.17,0,0,0
0,03000349,Sở GDĐT Hải Phòng,9.40,7.50,6.00,6.00,6.25,6.92,0,0,0
0,03000350,Sở GDĐT Hải Phòng,8.00,6.00,4.20,8.50,5.25,6.92,0,0,0
0,03000351,Sở GDĐT Hải Phòng,6.80,5.50,0,0,0,0,6.25,0,0
0,03000352,Sở GDĐT Hải Phòng,5.80,7.50,4.80,0,0,0,6.25,8.75,6.75
0,03000353,Sở GDĐT Hải Phòng,7.80,4.75,6.40,6.00,5.75,6.42,0,0,0
0,03000354,Sở GDĐT Hải Phòng,3.20,4.25,0,0,0,0,4.75,0,0
0,03000355,Sở GDĐT Hải Phòng,7.40,4.50,2.80,7.00,5.75,6.17,0,0,0
0,03000356,Sở GDĐT Hải Phòng,9.00,0,0,7.75,0,0,0,0,0
0,03000357,Sở GDĐT Hải Phòng,8.60,7.00,5.40,6.75,5.75,6.42,0,0,0
0,03000358,Sở GDĐT Hải Phòng,8.60,6.00,5.60,4.75,5.25,4.92,0,0,0
