,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,1000142,S? GDÐT Hà N?i,7,6.75,4.6,0,0,0,7,9.5,8.17
0,1000143,S? GDÐT Hà N?i,9,7.75,7.6,0,0,0,7,9,8.75
0,1000144,S? GDÐT Hà N?i,8.4,5.75,7.8,4.5,4.5,5,0,0,0
0,1000145,S? GDÐT Hà N?i,4.2,7,3.2,0,0,0,6.5,8.25,6.75
0,1000146,S? GDÐT Hà N?i,8,6.5,8,0,0,0,7.75,9.25,8.42
0,1000147,S? GDÐT Hà N?i,5,8.75,3.4,0,0,0,7.5,9.5,9.42
0,1000148,S? GDÐT Hà N?i,7.2,5.25,3.4,5.25,4.25,5.25,0,0,0
0,1000149,S? GDÐT Hà N?i,8.8,6.25,7.6,9.25,5.75,7,0,0,0
0,1000150,S? GDÐT Hà N?i,9,8,6.8,0,0,0,7.25,7.5,7.25
0,1000151,S? GDÐT Hà N?i,8.4,8,8.4,0,0,0,6.75,8.25,7.58
0,1000151,S? GDÐT Hà N?i,8.4,8,8.4,0,0,0,6.75,8.25,7.58
0,1000154,S? GDÐT Hà N?i,7.6,7,7,0,0,0,0,0,0
0,1000155,S? GDÐT Hà N?i,8.8,7.5,6.2,0,0,0,7.25,7.5,7.08
0,1000155,S? GDÐT Hà N?i,9.4,8.75,8.6,0,0,0,7,7.75,6.75
0,1000157,S? GDÐT Hà N?i,8.4,8.5,9,0,0,0,8,9.5,8.92
0,1000157,S? GDÐT Hà N?i,8.4,8.5,9,0,0,0,8,9.5,8.92
0,1000158,S? GDÐT Hà N?i,8.8,5.75,6.6,9.5,4.5,6.92,7,0,0
0,1000161,S? GDÐT Hà N?i,9,6.25,8.8,7.25,6.25,7.25,0,0,0
0,1000162,S? GDÐT Hà N?i,7.8,7.25,0,0,0,0,7.75,7.5,8
0,1000163,S? GDÐT Hà N?i,7.8,7.5,5.4,0,0,0,6.75,8.75,8
0,1000164,S? GDÐT Hà N?i,8.4,8.75,7.8,0,0,0,8,8.75,8.92
0,1000165,S? GDÐT Hà N?i,8.2,8.75,8.2,0,0,0,6.25,10,8.92
0,1000166,S? GDÐT Hà N?i,8.4,8.25,5.8,0,0,0,8.25,8,6.75
0,1000167,S? GDÐT Hà N?i,9,8,8.6,0,0,0,8.5,9.75,8.92
0,1000168,S? GDÐT Hà N?i,7,7,2.8,0,0,0,6.5,8,6.83
0,1000169,S? GDÐT Hà N?i,9,7.25,5.4,6,7,6.67,0,0,0
0,1000170,S? GDÐT Hà N?i,8.6,6.75,6.4,7.75,7.25,7.42,0,0,0
0,1000171,S? GDÐT Hà N?i,6.6,5.25,4.4,0,0,0,7.5,8.25,7.25
0,1000172,S? GDÐT Hà N?i,9.4,7.75,9,6.5,6,6.83,0,0,0
0,1000173,S? GDÐT Hà N?i,9.4,8,7.4,0,0,0,7.75,8,7.5
0,1000174,S? GDÐT Hà N?i,6.6,6.5,3.4,0,0,0,5.75,8.5,7.42
0,1000174,S? GDÐT Hà N?i,6.6,6.5,3.4,0,0,0,6,9,7.67
0,1000176,S? GDÐT Hà N?i,8.2,7.25,7.6,0,0,0,7.5,8.25,7.25
0,1000177,S? GDÐT Hà N?i,9.4,8,8.6,0,0,0,6.25,7.25,6.33
0,1000178,S? GDÐT Hà N?i,8.8,6.75,7,0,0,0,8,9,7.33
0,1000179,S? GDÐT Hà N?i,8,8,8.4,0,0,0,7.25,8.75,7.67
0,1000179,S? GDÐT Hà N?i,8,8,8.4,0,0,0,8.75,7.75,8.17
0,1000181,S? GDÐT Hà N?i,9,8.25,8.2,0,0,0,7.5,9.75,9
0,1000182,S? GDÐT Hà N?i,8.8,8,6,0,0,0,6.5,8.25,7.75
0,1000183,S? GDÐT Hà N?i,7.2,5,4.8,0,0,0,6.75,9,8
0,1000185,S? GDÐT Hà N?i,8.8,7,7.4,0,0,0,8.25,9.25,8.42
0,1000186,S? GDÐT Hà N?i,7.8,7.75,6.2,6.5,4.5,6,0,0,0
0,1000187,S? GDÐT Hà N?i,5,4.75,0,0,0,0,4.75,0,0
0,1000188,S? GDÐT Hà N?i,4.2,7,3.6,0,0,0,7.75,8.25,7.42
0,1000189,S? GDÐT Hà N?i,8.2,7.5,8,0,0,0,7,9,8.25
0,1000189,S? GDÐT Hà N?i,8.2,7.5,8,0,0,0,7,9,8.25
0,1000190,S? GDÐT Hà N?i,7.2,7.75,6.2,0,0,0,7.25,8.25,7.33
0,1000192,S? GDÐT Hà N?i,8,6.25,7.6,0,0,0,7.75,8.25,7.17
0,1000193,S? GDÐT Hà N?i,9,5.75,7.8,2.75,4.25,5.08,0,0,0
0,1000194,S? GDÐT Hà N?i,5.6,7,4.8,0,0,0,6,9.25,8
0,1000195,S? GDÐT Hà N?i,7.8,8,8.4,0,0,0,8.25,7.75,6.5
0,1000196,S? GDÐT Hà N?i,9,5,9.4,7.5,6.5,7.42,0,0,0
0,1000197,S? GDÐT Hà N?i,7.4,8.5,7.8,0,0,0,7.5,7.75,7.25
0,1000198,S? GDÐT Hà N?i,8.4,8.25,7.6,0,0,0,6.75,8.25,7.25
0,1000199,S? GDÐT Hà N?i,4.2,8.25,7,0,0,0,7.75,8.75,8.5
0,1000200,S? GDÐT Hà N?i,8,8,7.6,0,0,0,7.5,8.5,7.5
0,1000201,S? GDÐT Hà N?i,6.2,7.5,5.4,0,0,0,8.25,9.75,9.58
0,1000202,S? GDÐT Hà N?i,8.2,7,5.2,0,0,0,7.75,8.75,8.25
0,1000203,S? GDÐT Hà N?i,9,7.25,7.4,0,0,0,7,8.5,7.33
0,1000204,S? GDÐT Hà N?i,8,5.75,7.6,7.75,3.75,5,0,0,0
0,1000205,S? GDÐT Hà N?i,8.6,8,9,0,0,0,8.25,9.25,8.58
0,1000206,S? GDÐT Hà N?i,8.4,6.5,6.4,4.75,5.25,5.5,0,0,0
0,1000207,S? GDÐT Hà N?i,9,5,7.4,3,5.25,4.83,0,0,0
0,1000208,S? GDÐT Hà N?i,7.2,7,6.8,0,0,0,6.5,8.75,7
0,1000208,S? GDÐT Hà N?i,7.2,7,6.8,0,0,0,6.5,8.75,7
0,1000209,S? GDÐT Hà N?i,8.8,7.5,6.6,0,0,0,6.75,7.75,6.17
